Survey.sheet;Clove.benefit.score;Region;Gender;Age;edu.level;Ethnic.group;Migration.Experience;Farms.Cloves;encountered.binary;ID.vis.Aye;ID.nom;Knowledge.non.benefit.score.max.6;DK.score;Diet.Insects;Knowledge.signs;Remoteness;village.size;Farms.Paddy.Rice;Farms.Tavy.Rice;Extracts.Medical.plants;ID.vis.Indri;ID.vis.Microcebus;Aye.aye.protected
84;1;1;1;41-50;None;1;0;1;1;0;1;3;1;1;1;3;4;1;1;1;1;1;1
85;1;1;0;21-30;Primary;1;0;1;0;0;0;5;1;1;1;3;4;0;1;0;1;0;1
86;1;1;0;41-50;None;1;0;1;1;1;1;5;0;1;1;3;4;1;1;1;1;0;1
87;1;1;1;14-20;Primary;1;0;1;0;0;0;1;4;0;0;3;4;1;0;0;0;0;-1
88;1;1;1;31-40;None;1;0;1;1;0;1;5;1;1;1;3;4;1;1;1;1;1;1
89;1;1;1;31-40;Primary;1;0;1;0;0;0;0;7;0;1;3;4;1;0;0;0;0;1
90;0;1;0;14-20;Secondary;1;0;1;0;0;0;2;3;0;0;3;4;1;0;0;0;0;1
91;0;1;1;41-50;None;1;1;1;0;0;0;1;8;0;0;3;4;1;0;0;1;1;-1
92;1;1;1;21-30;Primary;1;0;1;0;1;0;3;4;0;0;3;4;0;1;1;1;0;1
93;1;1;1;21-30;Primary;1;0;1;1;1;1;4;1;0;0;3;4;1;1;1;1;0;1
94;1;1;1;31-40;None;1;0;1;1;1;0;4;0;0;0;3;4;1;1;1;1;0;1
95;1;1;0;41-50;Secondary;1;1;1;0;0;1;4;2;0;0;3;4;0;1;1;1;1;1
96;1;1;1;21-30;Primary;1;0;1;0;0;1;3;2;1;0;3;4;1;0;1;0;0;1
97;1;1;1;21-30;Secondary;1;0;1;0;0;0;1;4;0;0;3;4;1;0;1;1;0;1
98;1;1;0;14-20;Primary;2;0;1;0;0;0;3;3;0;0;3;4;1;0;1;1;0;1
99;1;1;1;41-50;None;1;0;1;1;1;1;4;1;1;0;3;4;1;1;1;1;1;1
100;0;1;0;21-30;Primary;2;0;1;0;0;0;0;7;0;0;3;4;1;0;1;0;0;-1
101;1;1;1;21-30;High;1;0;1;0;0;1;5;1;1;0;3;4;1;1;1;1;1;1
102;1;1;1;21-30;Secondary;1;0;1;0;0;1;6;1;1;0;3;4;1;1;1;1;0;1
103;0;1;1;14-20;Primary;2;0;1;0;0;1;2;3;0;1;3;1;0;1;1;1;1;1
104;0;1;1;21-30;Primary;1;0;1;0;0;1;1;7;1;0;3;1;1;0;1;0;0;1
105;0;1;1;21-30;None;1;0;1;1;0;0;4;4;0;0;3;1;1;0;0;0;0;1
106;0;1;0;31-40;None;1;0;1;0;0;1;3;6;0;0;3;1;1;0;1;0;0;1
107;1;1;0;21-30;None;2;0;1;0;0;0;4;3;1;0;3;1;1;1;0;1;1;0
108;1;1;1;31-40;None;2;0;1;0;0;0;6;3;1;0;3;1;0;1;1;1;0;1
109;0;1;1;31-40;Primary;1;0;1;0;0;1;2;9;0;0;3;1;0;1;1;1;1;-1
110;1;1;1;21-30;None;2;0;1;0;0;0;2;3;0;0;3;1;1;1;1;1;0;1
111;0;1;1;14-20;Primary;2;0;1;0;0;0;4;3;1;0;3;1;1;0;1;0;0;1
112;0;1;0;51-60;None;2;0;1;0;0;0;0;13;0;0;3;1;1;1;1;0;0;0
113;1;1;1;21-30;None;1;0;1;0;0;1;2;3;0;0;3;1;1;0;1;0;0;1
114;1;1;1;21-30;Secondary;1;1;1;0;0;1;1;5;1;0;3;1;1;0;0;1;1;0
115;1;1;0;31-40;Primary;1;0;1;0;0;0;1;5;0;0;1;5;1;1;0;1;1;1
116;1;1;0;31-40;Primary;1;0;1;1;0;1;5;0;1;0;1;5;1;1;1;1;0;1
117;1;1;0;21-30;Primary;2;0;1;0;0;1;2;4;0;0;1;5;1;1;0;0;1;0
118;0;1;0;14-20;Primary;1;0;1;0;0;0;1;2;0;0;1;5;0;1;1;0;0;-1
119;0;1;1;14-20;Secondary;1;0;1;0;0;1;1;3;0;0;1;5;1;1;0;1;0;-1
120;0;1;0;21-30;Primary;1;0;1;0;0;0;3;1;1;0;1;5;1;1;1;0;0;1
121;0;1;1;21-30;Secondary;1;1;1;0;0;1;3;2;0;1;1;5;1;1;1;0;1;0
122;0;1;1;21-30;Secondary;1;0;1;0;0;0;2;10;0;0;1;5;1;0;0;1;1;0
123;1;1;1;61-70;Primary;1;0;1;0;0;1;5;0;1;1;1;5;1;0;0;1;1;1
124;1;1;0;51-60;Secondary;3;1;1;0;0;1;4;0;1;1;1;5;1;1;1;1;1;1
125;1;1;1;51-60;Primary;1;0;1;1;1;1;5;2;0;0;1;5;1;0;1;1;1;1
126;0;1;1;21-30;Secondary;1;0;1;0;0;1;4;6;0;1;1;5;1;0;1;1;0;1
127;1;1;1;21-30;Secondary;1;0;1;0;0;1;2;3;0;0;1;5;1;1;0;0;1;0
